employee_id,name,department,salary,joining_date
00a416b3-145b-4b63-a197-7f21f9eaa52e,Michael Medina,Sales,79019,2020-07-25
854b6caa-952d-449e-b3c0-f82e8aa261ac,Edward Douglas,HR,88889,2022-11-03
253d4328-8019-47eb-bb6d-e44b1046902b,Christopher Long,HR,78270,2020-08-02
67a202af-e0a8-4934-ad74-3e0675ed4192,Robert Hansen,HR,52791,2021-01-09
c81a3b37-b22a-459e-8253-2b1360e6b9d8,Frank Doyle,IT,85231,2023-12-14
ae074888-051d-4ebe-a22f-66c4ce4a1aac,Robert Rodriguez,IT,71603,2020-07-23
5211cf13-553d-48ef-9cf6-2136cd03899f,Christopher Wright,IT,79200,2021-02-06
c5266bb7-dc08-4fea-a084-c83bfa881ef7,Peggy Jones,IT,118657,2022-09-19
cbff0a73-b24f-4fcf-98c2-477288a68237,Bryan Griffin,Sales,53415,2021-10-03
f621dea2-3304-4152-9bbf-5625b751e9b0,Zachary Jones,Sales,78891,2025-02-19
6cae6208-07fc-4011-87dd-efef925eff59,James Armstrong,HR,69629,2025-07-25
d3bf69ad-6e70-41eb-a889-c57b8430709c,Bryan Shaw,IT,67329,2023-10-12
ab946da4-4d10-41a7-b6d0-4ecc6f6bb545,Dean Cohen,Sales,78085,2021-11-01
fc656f41-1664-49f0-b7db-718d6976c37d,Nicole Juarez,HR,42499,2023-04-23
d13b2a84-8b05-4a72-b8dd-dde30e20f2d3,Christopher Knight,HR,62276,2021-01-27
d808dba5-a9b2-425d-a9fa-d76f62cba72a,Joshua Strickland,Sales,45767,2021-04-12
bc9b4dd2-b4db-4e77-8c65-561baafaf750,Elizabeth Delgado,Sales,61599,2025-03-29
99c9878c-93a2-46bc-b706-68f6c349a9f0,Kelly Taylor,HR,96020,2020-01-27
c9793b82-8dd3-4271-bef0-a6f41099a3c2,Felicia Clark,Sales,52073,2024-01-09
62697bf6-12e4-4758-8447-d6b9ea5bae52,Laura Powell,IT,66268,2021-08-06
807369cd-ba1d-4317-8f3f-e4a412d4e08a,Damon Ross,IT,64346,2023-11-08
1eea65c9-7563-4127-b04d-274f90cb6827,Kylie Day,Finance,105867,2022-04-30
57d999c6-8288-4fc4-934c-5114a53c74e2,Brian Diaz,Finance,96138,2025-05-11
6a9c878a-d3ad-4669-918d-db737f2857e7,Charles Welch,Finance,75017,2025-06-24
145bf96b-dfc3-4e86-bbb8-456c8b1d395f,Christopher Ward,HR,115605,2025-01-25
7d4ac3ab-3b74-4cde-81b4-b28b1939e609,Dr. Lydia Peterson,IT,47068,2020-01-10
7f1fb703-eb20-4830-b6cb-93f7ea32948a,Kristen Dixon,IT,75272,2022-09-30
e4789414-12de-4294-9210-992334c1775d,Alvin Fernandez,Sales,97248,2024-10-02
87f9dab8-79b1-486f-9f65-b6bdc2cb9cd5,Joe Thompson,HR,77038,2021-09-18
32f79efe-4683-49ec-8750-0882bfd08b94,Amanda Warren,Finance,103917,2022-07-30
c567b3e2-5dd5-42e7-9af3-8aabd780cab9,Daniel Johnson,IT,82071,2022-09-17
f706fbc5-0053-4683-8f76-a801acf71a11,Christopher Bell,IT,52038,2024-04-19
1d84a2b4-cf4a-43fb-a4a1-3a7aed2dde16,Rose Macdonald,HR,41672,2020-08-28
f6164cb3-75a6-4b8a-93be-b34ebdacc24a,Wendy Bradley,Sales,49260,2024-11-27
e791226d-41e2-4e13-88aa-7c3e6e8c1d03,Rebecca West,Finance,64097,2022-09-09
694792fd-94f8-4224-83a6-d07cf1d8968f,Ms. Erica Bradley,Finance,53181,2024-01-31
39d09061-98ae-444f-a570-efbb2628b13e,Samuel Armstrong,IT,108167,2020-04-02
bf91ac92-26b3-4b1a-b120-58352d1a181a,Stephanie Smith,Sales,98519,2025-01-07
8c015774-2d2d-4d6e-98c0-be4a13f5b831,Melissa Douglas,Sales,87217,2023-10-27
dab73add-cd9c-4eaa-bb4f-2382f9ec224c,Lori Hawkins,HR,80602,2021-03-17
d8bc5d58-897c-4a62-83d5-b399707350b9,Erica Roth,Sales,83227,2023-01-01
cf3ff984-6e14-4f02-8e93-f9281c7be836,Thomas Allen,Finance,57925,2021-12-08
ba6b3cd6-16ed-47ad-a36d-a19ce9c7de1a,Lance Mcpherson,HR,105788,2021-06-17
1955f88a-5734-4022-8f65-e60e09034fd1,Ryan Hill,Finance,75970,2021-02-12
248d10ce-a1a7-4c80-a0e2-1f9ed86b2c4d,Rachel Lee,IT,67836,2020-05-07
71e7ca34-a7c1-4d3f-98e5-aa897fc23a4f,William Simmons,IT,74809,2023-01-13
22233166-aa27-471f-9cde-ce59008030d5,Kari Jarvis,HR,107760,2025-06-16
5880eed0-70ad-4f8b-a2ca-a1cb3f013508,Rebecca Gibbs,Finance,83047,2023-12-05
b6f562d0-4506-4b17-a224-6217d3f9d3d0,Tammy Barr,IT,90120,2020-08-17
d6b51017-7908-4c0e-8e0c-e283822261b9,Michelle Moore,HR,73276,2023-02-11
